Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_6.3x7.7,1,UWT1H330MCL1GS,C1864193
"C10, C11, C2, C6, C9",0603,5,1u,C15849
"C3, C4, C5",1206,3,4.7u,C29823
C7,0603,1,0.1u,C14663
D1,D_SOD-323F,1,MM3Z12,C19077460
D2,0603,1,CD0603-B0340R,C3759853
D3,0603,1,LED,C2899911
J3,TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal,1,TE_282834-4,C708735
J4,CONN_B5B-ZR-SM4-TF_JST,1,B5B-ZR-SM4-TF,C265440
L1,1210,1,47uH,C250235
L2,1210,1,4.7uH,C117731
LS1,Buzzer_CUI_CPT-9019S-SMT,1,CUI_CPT-9019S-SMT,C18212234
"Q1, Q2",SOT-23,2,Si2356DS,C5182104
"Q3, Q5, Q6",SOT-23,3,MMBT3904,C7420353
Q4,SOT-23,1,SL2319,C347478
Q7,SOT-23,1,MMBT3906,C7420354
Q8,SOT-23,1,SI2333,C344008
R10,0603,1,147K,C2998060
R11,0603,1,6K34,C23087
R12,0603,1,976K,C2933270
R13,0603,1,562K,C2933238
"R14, R18, R19, R20, R21, R22, R24, R25",0603,8,10K,C25804
"R15, R9",0603,2,3K3,C22978
"R17, R3, R7",0603,3,1M,C22935
"R2, R6",0603,2,2K7,C13167
"R26, R8",0603,2,100K,C25803
R4,0603,1,1K,C21190
SW1,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W6.73mm_P2.54mm_LowProfile_JPin,1,CFS-0400TA,C5774648
"TP1, TP2, TP3, TP4, TP5",TestPoint_Pad_D1.0mm,5,TestPoint_Small,
U1,QFN-24-3x3mm,1,XS-LDT-01,
U2,SOT-23-6,1,MAX5026,C87603
U3,MXC4005XC_MEM-M,1,MXC4005XC,C404327
U4,SOT-23-6,1,MCP1640BCH,C478087
U6,SOT-23-5,1,TLV74311,C485147
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,FM24W256,C66020
