Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_6.3x7.7,1,33uF 50v,
"C10, C11, C2, C6, C9",0603,5,1u,C15849
"C3, C4, C5",1206,3,4.7u,C29823
"C7, C8",0603,2,0.1u,C14663
D1,D_SOD-323F,1,MM3Z12,C19077460
D2,0603,1,CD0603-B0340R,C3759853
D3,0603,1,LED,C2899911
"J1, J2",PinSocket_2x13_P2.54mm_Vertical,2,Conn_02x13_Odd_Even,
J3,TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal,1,Screw_Terminal_01x04,
J4,CONN_B5B-ZR-SM4-TF_JST,1,Conn_01x05,C265440
L1,1210,1,47uH,C250235
L2,1210,1,4.7uH,C117731
LS1,Buzzer_CUI_CPT-9019S-SMT,1,Piezo,
"Q1, Q2",SOT-23,2,Si2356DS,C5182104
"Q3, Q5, Q6",SOT-23,3,MMBT3904,C7420353
Q4,SOT-23,1,SL2319,C347478
Q7,SOT-23,1,MMBT3906,C7420354
Q8,SOT-23,1,SI2333,C2998060
R1,0603,1,0R,C21189
R10,0603,1,147K,C2998060
R11,0603,1,6K34,C23087
R12,0603,1,976K,C2933270
R13,0603,1,562K,C2933238
"R14, R18, R19, R20, R21, R22, R24, R25",0603,8,10K,C25804
"R15, R9",0603,2,3K3,C22978
"R16, R23, R5",0603,3,dni,
"R17, R3, R7",0603,3,1M,C22935
"R2, R6",0603,2,2K7,C13167
"R26, R8",0603,2,100K,C25803
R4,0603,1,1K,C21190
SW1,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W6.73mm_P2.54mm_LowProfile_JPin,1,SW_DIP_x04,
"TP1, TP2",TestPoint_Keystone_5000-5004_Miniature,2,GND,
U1,QFN-24-3x3mm,1,XS-LDT-01,
U2,SOT-23-6,1,MAX5026,C87603
U3,MXC4005XC_MEM-M,1,MXC4005XC,C404327
U4,SOT-23-6,1,MCP1640BCH,C478087
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,AT25xxx,
U6,SOT-23-5,1,TLV74311,C485147
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,FM24W256,C66020
U8,SOT-23,1,LM809,
X1,Oscillator_SMD_Abracon_ASV-4Pin_7.0x5.1mm_HandSoldering,1,ASE-48MHz,
