Designator,Mid X,Mid Y,Rotation,Layer
C1,170.307,-117.983,0.0,top
C10,170.18,-101.6,180.0,bottom
C11,172.593,-112.522,0.0,bottom
C2,167.386,-104.521,270.0,bottom
C3,166.2684,-115.4176,270.0,bottom
C4,167.7924,-91.7956,180.0,bottom
C5,172.466,-91.7956,180.0,bottom
C6,170.2816,-111.0996,270.0,bottom
C7,174.244,-99.441,0.0,bottom
C8,182.3212,-110.1344,0.0,bottom
C9,170.18,-107.696,0.0,bottom
D1,175.133,-116.713,270.0,bottom
D2,171.831,-114.808,90.0,bottom
D3,175.641,-84.455,270.0,top
J1,189.23,-104.14,0.0,bottom
J2,151.13,-104.14,0.0,bottom
J3,170.18,-127.762,0.0,top
J4,170.1292,-82.296,180.0,bottom
L1,167.132,-111.252,180.0,bottom
L2,166.9288,-87.9856,90.0,bottom
LS1,169.163231,-84.709,0.0,top
Q1,171.9326,-124.2314,270.0,bottom
Q2,175.3616,-124.2314,270.0,bottom
Q3,175.2752,-120.4237,270.0,bottom
Q4,171.8716,-120.3729,270.0,bottom
Q5,168.4172,-120.3729,270.0,bottom
Q6,165.0746,-124.2314,270.0,bottom
Q7,168.5036,-124.2314,270.0,bottom
Q8,165.735,-97.028,90.0,bottom
R1,183.896,-115.824,0.0,bottom
R10,173.355,-114.808,90.0,bottom
R11,172.593,-117.094,0.0,bottom
R12,173.0756,-88.4936,270.0,bottom
R13,174.6504,-88.4936,90.0,bottom
R14,168.7576,-130.0734,0.0,bottom
R15,164.211,-88.392,270.0,bottom
R16,180.2892,-99.4664,0.0,bottom
R17,174.117,-110.998,0.0,bottom
R18,174.879,-113.284,90.0,bottom
R19,165.227,-118.491,0.0,bottom
R2,176.022,-96.139,270.0,bottom
R20,165.227,-121.5136,180.0,bottom
R21,174.117,-109.474,180.0,bottom
R22,176.149,-127.762,90.0,bottom
R23,183.8838,-112.776,180.0,bottom
R24,165.481,-108.966,180.0,bottom
R25,165.227,-120.015,0.0,bottom
R26,164.719,-93.599,270.0,bottom
R3,171.9326,-130.0734,0.0,bottom
R4,176.149,-88.519,270.0,bottom
R5,183.8838,-114.3,0.0,bottom
R6,176.022,-93.091,90.0,bottom
R7,175.1076,-130.0734,0.0,bottom
R8,165.5826,-130.0734,0.0,bottom
R9,172.72,-104.648,90.0,bottom
SW1,170.307,-94.551,270.0,top
TP1,181.2036,-117.9576,90.0,top
TP2,158.9024,-90.0684,0.0,top
U1,170.104,-104.7425,90.0,top
U2,169.291,-115.443,270.0,bottom
U3,169.926,-111.0488,0.0,top
U4,170.4848,-87.757,90.0,bottom
U5,182.626,-92.71,180.0,bottom
U6,170.18,-104.648,270.0,bottom
U7,171.388,-95.885,90.0,bottom
U8,183.9316,-118.7981,90.0,bottom
X1,182.0672,-105.0036,0.0,bottom
